id,坡度均值,坡度标准差,坡向,粗糙度,平面曲率均值,平面曲率标准差,,剖面曲率均值,剖面曲率标准差,,到河流距离,到断层距离,土地覆盖,岩性,高程,植被,lon,lat
0,25.596548080444336,11.60979175567627,251.38526916503906,12.50423812866211,0.0012339184759184718,0.004769955296069384,,0.006041912827640772,0.020712217316031456,,441.0051139733433,6545.448055363183,2,SC4,50.945247650146484,茅栗、白栎灌丛,108.6888254,29.53620006
1,14.431137084960938,9.184996604919434,323.1526527404785,8.09678840637207,0.003861990524455905,0.0029926570132374763,,0.017359236255288124,0.03193220496177673,,662.8157152873179,6707.115917980781,2,SC4,8.25798511505127,茅栗、白栎灌丛,108.6884236,29.53835799
2,15.306295394897461,13.647570610046387,14.310641288757324,7.209352493286133,0.0011734084691852331,0.0030401910189539194,,0.011251420713961124,0.056300364434719086,,490.0194342237752,6325.332039775347,7,SC4,47.403167724609375,茅栗、白栎灌丛,108.6925242,29.537574
3,33.118492126464844,15.670916557312012,229.5402069091797,17.95347023010254,0.005837231874465942,0.009572990238666534,,-0.04658328,0.17571058869361877,,663.9434188535962,6831.451400124391,2,SC4,30.517749786376953,茅栗、白栎灌丛,108.686996,29.53848714
4,6.913498878479004,9.447224617004395,246.82554626464844,3.0367188453674316,0.001423184061422944,0.004360240884125233,,0.004077870398759842,0.029557686299085617,,510.2782595023037,6126.945646997497,7,SC4,17.23219108581543,茅栗、白栎灌丛,108.6953138,29.53806788
5,22.29405403137207,10.954833984375,338.29375648498535,10.880559921264648,0.0013357882853597403,0.009045525453984737,,-0.000116028,0.018533291295170784,,515.4742069513782,6436.7237523333815,2,SC4,51.250579833984375,茅栗、白栎灌丛,108.6904305,29.53657525
6,20.557666778564453,11.405529975891113,283.0558624267578,9.915702819824219,0.000520541740115732,0.004630871582776308,,0.015774305909872055,0.03166889399290085,,573.5199180157476,5759.238831174952,7,SC4,18.3804988861084,茅栗、白栎灌丛,108.6992095,29.53723931
7,18.68540382385254,12.531503677368164,349.7040271759033,9.334975242614746,0.0006809596088714898,0.006230916362255812,,0.0032767602242529392,0.049907077103853226,,364.27183053924443,6661.656351689564,2,SC4,49.033573150634766,茅栗、白栎灌丛,108.6871154,29.53578421
8,19.338382720947266,7.84296178817749,218.73959350585938,9.02185344696045,0.0025600953958928585,0.003432667115703225,,0.012388617731630802,0.024113411083817482,,476.77612414996617,5924.209253627791,7,SC4,19.37964630126953,茅栗、白栎灌丛,108.6971984,29.53725079
9,25.78165626525879,7.848595142364502,262.177001953125,12.295214653015137,-0.000371114,0.006569647695869207,,-0.000297762,0.014016359113156796,,476.57947261401546,7105.748562260112,2,SC4,48.1977424621582,茅栗、白栎灌丛,108.6822471,29.53645898
